TIME,depth,lat,long,psal,temp
22:23:56,21.34052237,-17.7293172,146.446306,34.95312269,29.12332303
22:23:58,21.76790647,-17.7293216,146.446302,34.95314226,29.12402329
22:24:00,22.19528968,-17.72932595,146.446298,34.95317832,29.12462048
22:24:02,22.61273289,-17.72933038,146.4462939,34.95313266,29.12466921
22:24:04,23.04011434,-17.72933473,146.4462899,34.95369359,29.1240142
22:24:06,23.46749489,-17.7293391,146.4462859,34.95347008,29.12467473
22:24:08,23.88493551,-17.72934347,146.4462819,34.95349258,29.12526509
22:24:10,24.30237527,-17.72934784,146.4462779,34.95325408,29.12549538
22:24:12,24.69993615,-17.72935221,146.4462739,34.95334407,29.12540457
22:24:14,25.11737425,-17.72935657,146.4462699,34.95334463,29.12543009
22:24:16,25.55468944,-17.72936094,146.4462659,34.95304029,29.12633832
22:24:18,25.98206475,-17.72936535,146.4462619,34.95325821,29.12615194
22:24:20,26.40943916,-17.72936974,146.4462579,34.95323834,29.1262577
22:24:22,26.84675159,-17.72937408,146.4462539,34.95303287,29.12675922
22:24:24,27.28406309,-17.72937847,146.4462499,34.95261904,29.12742278
22:24:26,27.71143479,-17.72938282,146.4462459,34.95258464,29.1273761
22:24:28,28.12886675,-17.72938721,146.4462419,34.9530284,29.12694062
22:24:30,28.54629786,-17.7293916,146.4462378,34.95329313,29.12686541
22:24:32,28.96372811,-17.72939594,146.4462339,34.9530793,29.12722335
22:24:34,29.39109631,-17.72940034,146.4462298,34.95291354,29.12726922
22:24:36,29.80852484,-17.72940469,146.4462258,34.95277898,29.12739195
22:24:38,30.22595252,-17.72940913,146.4462218,34.95318539,29.12703765
22:24:40,30.64337936,-17.72941343,146.4462178,34.95303993,29.12686497
22:24:42,31.07074404,-17.72941781,146.4462138,34.95282708,29.12547144
22:24:44,31.48816915,-17.72942219,146.4462098,34.95263202,29.12282936
22:24:46,31.88571609,-17.72942659,146.4462058,34.95177562,29.12237442
22:24:48,32.30313954,-17.72943105,146.4462017,34.95163222,29.12173308
22:24:50,32.73050076,-17.72943546,146.4461977,34.95191847,29.12267913
22:24:52,33.17773829,-17.72943988,146.4461936,34.95182911,29.12420961
22:24:54,33.61503627,-17.72944429,146.4461896,34.95307281,29.12447372
22:24:56,34.04239475,-17.72944879,146.4461854,34.95278054,29.12305015
22:24:58,34.45981381,-17.72945279,146.4461818,34.95259998,29.12042853
22:25:00,34.89710904,-17.72945718,146.4461778,34.95119845,29.11670644
22:25:02,35.32446485,-17.72946157,146.4461737,34.95039464,29.11490792
22:25:04,35.75181977,-17.72946592,146.4461698,34.95189234,29.10530253
22:25:06,36.17917379,-17.7294703,146.4461657,34.94612156,29.1002
22:25:08,36.63634223,-17.72947468,146.4461617,34.94587981,29.10567508
22:25:10,37.07363282,-17.72947904,146.4461577,34.94976682,29.1035521
22:25:12,37.51092248,-17.72948344,146.4461537,34.94575033,29.10194877
22:25:14,37.92833446,-17.72948789,146.4461496,34.94731029,29.09866643
22:25:16,38.34574559,-17.72949216,146.4461457,34.94538147,29.09689509
22:25:18,38.76315588,-17.72949653,146.4461417,34.94602089,29.09642028
22:25:20,39.11099713,-17.72950094,146.4461377,34.94547171,29.09531856
22:25:22,39.28988668,-17.72950531,146.4461337,34.94517737,29.09444485
22:25:24,39.25013345,-17.72950968,146.4461297,34.94489398,29.09387474
22:25:26,39.00167562,-17.72951405,146.4461257,34.94506177,29.09292124
22:25:28,38.64389583,-17.72951843,146.4461216,34.94528362,29.09347906
22:25:30,38.23642365,-17.72952279,146.4461177,34.94558445,29.09476293
22:25:32,37.8488274,-17.72952726,146.4461136,34.9449198,29.09645935
22:25:34,37.4910456,-17.72953155,146.4461096,34.94597311,29.09690516
22:25:36,37.18295521,-17.72953592,146.4461056,34.94493704,29.09379362
22:25:38,36.86492594,-17.72954027,146.4461016,34.94455547,29.09187572
22:25:40,36.53695774,-17.72954466,146.4460976,34.94476236,29.09131032
22:25:42,36.20898901,-17.72954903,146.4460936,34.94512244,29.09090535
22:25:44,35.85120434,-17.72955342,146.4460896,34.94522822,29.09099551
22:25:46,35.47354207,-17.72955778,146.4460856,34.94507023,29.09175012
22:25:48,35.11575612,-17.72956215,146.4460816,34.94504332,29.09165885
22:25:50,34.75796955,-17.72956666,146.4460775,34.94462703,29.09173447
22:25:52,34.42999797,-17.72957091,146.4460736,34.94512325,29.09072765
22:25:54,34.10202587,-17.72957528,146.4460696,34.94506621,29.09093563
22:25:56,33.77405324,-17.7295797,146.4460655,34.94523784,29.09064653
22:25:58,33.42620291,-17.72958423,146.4460614,34.94457445,29.08945242
22:26:00,33.07835199,-17.72958841,146.4460575,34.9440356,29.09150567
22:26:02,32.73050048,-17.72959278,146.4460535,34.94452069,29.09591868
22:26:04,32.40252566,-17.72959716,146.4460495,34.94648067,29.09688307
22:26:06,32.06461166,-17.72960152,146.4460455,34.9461994,29.10022546
22:26:08,31.7266971,-17.72960602,146.4460414,34.94688512,29.1024
22:26:10,31.3788433,-17.72961028,146.4460375,34.94737046,29.10175036
22:26:12,31.0309889,-17.72961465,146.4460335,34.94745869,29.10159607
22:26:14,30.68313391,-17.729619,146.4460295,34.94693877,29.10267306
22:26:16,30.34521708,-17.72962339,146.4460255,34.9472959,29.10281059
22:26:18,29.99736093,-17.72962777,146.4460215,34.94710523,29.10279568
22:26:20,29.65944296,-17.72963213,146.4460175,34.94675347,29.10659913
22:26:22,29.32152443,-17.72963651,146.4460135,34.94933275,29.10737004
